Date,Close,Open,High,Low,Vol.,Change %,,
"Mar 30, 2020",132.15,125.24,134.72,125.02,20.71M,5.52%,X,Y
"Mar 31, 2020",132.86,132.15,135.14,130.54,17.30M,0.54%,X,Y
"Apr 01, 2020",135.66,132.88,136.56,128.93,19.45M,2.10%,X,Y
"Apr 02, 2020",141.3,135.65,148.91,135.26,29.42M,4.16%,X,Y
"Apr 03, 2020",141.14,141.29,146.46,138.01,23.34M,-0.11%,X,Y
"Apr 04, 2020",144.01,141.13,145.71,139.36,19.75M,2.03%,X,Y
"Apr 05, 2020",142.58,144.03,145.26,140.84,18.17M,-0.99%,X,Y
"Apr 06, 2020",171.06,142.58,171.24,142.55,37.89M,19.97%,X,Y
"Apr 07, 2020",164.71,171.07,175.78,162.75,35.79M,-3.71%,X,Y
"Apr 08, 2020",173,164.71,174.23,163.73,24.31M,5.03%,X,Y
"Apr 09, 2020",169.68,173.01,173.2,165.91,20.66M,-1.92%,X,Y
"Apr 10, 2020",157.86,169.67,170.1,152.52,28.35M,-6.97%,X,Y
"Apr 11, 2020",158.18,157.85,161.37,154.01,19.07M,0.20%,X,Y
"Apr 12, 2020",158.73,158.18,164.75,155.17,22.60M,0.35%,X,Y
"Apr 13, 2020",156.38,158.76,158.85,150.6,25.30M,-1.48%,X,Y
"Apr 14, 2020",158.45,156.36,161.57,155.52,21.20M,1.33%,X,Y
"Apr 15, 2020",152.9,158.43,161.06,152.44,20.70M,-3.50%,X,Y
"Apr 16, 2020",172.31,152.9,174.28,148.91,32.99M,12.69%,X,Y
"Apr 17, 2020",170.63,172.32,174.52,168.55,20.05M,-0.97%,X,Y
"Apr 18, 2020",187.45,170.63,189.22,170.61,24.75M,9.85%,X,Y
"Apr 19, 2020",180.13,187.47,188.23,177.24,23.27M,-3.90%,X,Y
"Apr 20, 2020",170.4,180.12,186.24,167.51,33.68M,-5.40%,X,Y
"Apr 21, 2020",170.79,170.37,174.48,168.31,23.63M,0.23%,X,Y
"Apr 22, 2020",182.72,170.79,183.71,169.93,23.81M,6.99%,X,Y
"Apr 23, 2020",185.46,182.72,192.4,178.54,28.73M,1.50%,X,Y
"Apr 24, 2020",187.58,185.48,189.33,185.19,19.84M,1.14%,X,Y
"Apr 25, 2020",194.01,187.57,197.35,186.03,21.87M,3.43%,X,Y
"Apr 26, 2020",197.35,194.01,199.3,192.52,23.13M,1.72%,X,Y
"Apr 27, 2020",196.14,197.35,198.8,190.87,23.33M,-0.61%,X,Y
"Apr 28, 2020",196.55,196.13,197.51,192.47,21.81M,0.21%,X,Y
"Apr 29, 2020",215.4,196.55,218.32,196.45,32.87M,9.59%,X,Y
"Apr 30, 2020",206.22,215.42,227.05,202.59,35.46M,-4.26%,X,Y
"May 01, 2020",212,206.23,216.99,206.06,23.08M,2.80%,X,Y
"May 02, 2020",213.96,212,215.15,210.51,18.31M,0.92%,X,Y
"May 03, 2020",209.83,213.96,218.74,205.5,23.12M,-1.93%,X,Y
"May 04, 2020",206.61,209.85,210.63,195.25,27.21M,-1.53%,X,Y
"May 05, 2020",205.36,206.59,211.33,201.75,21.05M,-0.61%,X,Y
"May 06, 2020",199.04,205.36,210.62,198.79,24.03M,-3.08%,X,Y
"May 07, 2020",212,199.05,214,197.36,26.71M,6.51%,X,Y
"May 08, 2020",211.45,212,216.44,207.25,23.08M,-0.26%,X,Y
"May 09, 2020",210.22,211.47,214.5,208.83,20.90M,-0.58%,X,Y
"May 10, 2020",187.78,210.19,210.19,180.7,35.98M,-10.68%,X,Y
"May 11, 2020",185.96,187.77,193.26,177.43,26.74M,-0.97%,X,Y
"May 12, 2020",189.84,185.82,192.04,185.68,15.58M,2.09%,X,Y
"May 13, 2020",199.58,189.82,200.82,188.59,17.47M,5.13%,X,Y
"May 14, 2020",203.3,199.58,205.82,196.21,20.75M,1.86%,X,Y
"May 15, 2020",194.85,203.29,204.02,192.61,16.62M,-4.15%,X,Y
"May 16, 2020",200.51,194.85,203.12,193.48,15.52M,2.91%,X,Y
"May 17, 2020",207,200.51,209.79,199.77,15.78M,3.23%,X,Y
"May 18, 2020",214.87,207,217,207,17.73M,3.80%,X,Y
"May 19, 2020",214.51,214.88,215.75,209.79,13.96M,-0.17%,X,Y
"May 20, 2020",209.99,214.52,215.28,207.03,12.19M,-2.11%,X,Y
"May 21, 2020",198.75,210,211.58,192.11,14.36M,-5.35%,X,Y
"May 22, 2020",207.35,198.75,209.04,196.68,12.13M,4.33%,X,Y
"May 23, 2020",206.62,207.35,211.03,204.97,9.91M,-0.35%,X,Y
"May 24, 2020",199.97,206.65,210.4,199.97,11.89M,-3.22%,X,Y
"May 25, 2020",204.13,199.99,205.52,198.57,10.63M,2.08%,X,Y
"May 26, 2020",201,204.13,204.9,197.3,10.44M,-1.53%,X,Y
"May 27, 2020",208.18,200.99,208.18,200.85,10.28M,3.57%,X,Y
"May 28, 2020",220.18,208.2,220.33,204.79,12.51M,5.77%,X,Y
"May 29, 2020",220.66,220.14,224.52,217.84,12.36M,0.21%,X,Y
"May 30, 2020",243.63,220.66,246.55,218.86,14.34M,10.41%,X,Y
"May 31, 2020",231.81,243.63,245.33,230.31,12.43M,-4.85%,X,Y
"Jun 01, 2020",247.97,231.8,249.81,230.85,11.97M,6.97%,X,Y
"Jun 02, 2020",237.94,248.01,253.21,227.95,12.69M,-4.05%,X,Y
"Jun 03, 2020",244.52,237.9,244.76,233.84,8.15M,2.77%,X,Y
"Jun 04, 2020",243.37,244.53,246.41,236.68,8.75M,-0.47%,X,Y
"Jun 05, 2020",240.23,243.37,247.5,239.7,7.75M,-1.29%,X,Y
"Jun 06, 2020",242,240.27,244.43,238.38,6.62M,0.73%,X,Y
"Jun 07, 2020",244.56,242,244.94,235.44,8.10M,1.06%,X,Y
"Jun 08, 2020",246.18,244.56,247.11,241.3,6.55M,0.66%,X,Y
"Jun 09, 2020",243.82,246.19,249.45,240.18,6.86M,-0.96%,X,Y
"Jun 10, 2020",247.78,243.82,249.51,242.54,7.63M,1.62%,X,Y
"Jun 11, 2020",230.71,247.79,249.77,227.01,12.40M,-6.89%,X,Y
"Jun 12, 2020",237.54,230.72,239.23,228.62,7.34M,2.96%,X,Y
"Jun 13, 2020",238.22,237.55,238.61,234.86,5.27M,0.29%,X,Y
"Jun 14, 2020",232.02,238.23,238.48,230.52,5.78M,-2.60%,X,Y
"Jun 15, 2020",230.93,231.99,233.34,219.06,10.18M,-0.47%,X,Y
"Jun 16, 2020",235.36,230.92,235.95,228.99,7.03M,1.92%,X,Y
"Jun 17, 2020",233.88,235.37,236.55,228.63,5.94M,-0.63%,X,Y
"Jun 18, 2020",231.34,233.85,234.69,228.13,4.96M,-1.09%,X,Y
"Jun 19, 2020",229.11,231.34,231.94,226.97,5.56M,-0.97%,X,Y
"Jun 20, 2020",228.86,229.11,230.96,226.28,4.54M,-0.11%,X,Y
"Jun 21, 2020",228.13,228.87,231.18,227.38,4.10M,-0.32%,X,Y
"Jun 22, 2020",243.25,228.11,246.39,227.69,7.93M,6.63%,X,Y
"Jun 23, 2020",243.2,243.24,244.77,240.94,5.16M,-0.02%,X,Y
"Jun 24, 2020",234.75,243.2,249.23,231.56,9.13M,-3.47%,X,Y
"Jun 25, 2020",232.56,234.75,235.29,227.99,6.48M,-0.93%,X,Y
"Jun 26, 2020",229.67,232.57,233.5,228.16,6.96M,-1.24%,X,Y
"Jun 27, 2020",221.06,229.72,231.3,217.11,7.21M,-3.75%,X,Y
"Jun 28, 2020",225.09,221.07,227.74,218.46,5.91M,1.82%,X,Y
"Jun 29, 2020",227.87,225.09,229.83,221.6,6.80M,1.24%,X,Y
"Jun 30, 2020",225.63,227.88,228.57,223.23,5.60M,-0.99%,X,Y
"Jul 01, 2020",230.95,225.61,232.47,224.33,6.31M,2.36%,X,Y
"Jul 02, 2020",226.42,230.96,232.04,223.53,7.28M,-1.96%,X,Y
